date,open,high,low,close,volume
10/18/2022,1335.93,1336.05,1330.81,1333.77,7723009.091
10/18/2022,1333.91,1338.41,1331.88,1336.86,7678825.891
10/18/2022,1336.76,1337.7,1331.18,1333.22,7910331.115
10/18/2022,1333.23,1333.97,1321.27,1322.65,11240881.67
10/18/2022,1322.72,1326.01,1318.42,1324.38,9054143.063
10/18/2022,1324.23,1325.31,1320.22,1324.39,6790184.486
10/18/2022,1324.37,1328.69,1322.71,1326.41,6198351.691
10/18/2022,1326.33,1329.48,1324.06,1325.15,4906293.919
10/18/2022,1325.19,1327.77,1324.96,1326.57,4551986.043
10/18/2022,1326.52,1329.54,1325.62,1325.77,5815363.359
10/18/2022,1325.84,1332.58,1325.67,1331.23,6807395.752
10/18/2022,1331.23,1333.72,1329.07,1331.21,8163970.019
10/18/2022,1331.05,1334.59,1328.21,1332.48,6592870.787
10/18/2022,1332.48,1334.74,1319.47,1322.04,16190237.72
10/18/2022,1321.89,1325.19,1312.16,1313.32,13791449.21
10/18/2022,1313.18,1314.26,1306.16,1308.35,14520161.1
10/18/2022,1308.23,1311.83,1302.27,1307.64,13433622.16
10/18/2022,1307.63,1310.61,1298.48,1307.85,13025792.08
10/18/2022,1307.57,1312.19,1305.5,1308.25,11087324.6
10/18/2022,1308.28,1312.34,1306.66,1309.69,8801039.366
10/18/2022,1309.64,1310.44,1305.9,1308.03,9503711.123
10/18/2022,1308.29,1312.62,1307.28,1308.82,8782322.957
10/18/2022,1308.82,1310.06,1306.49,1309.49,8673649.165
10/18/2022,1309.09,1309.53,1290.42,1293.49,15943876.77
10/18/2022,1293.47,1293.52,1286.56,1292.34,11121103.19
10/18/2022,1292.37,1301.22,1291.65,1301.1,13433880.86
10/18/2022,1300.86,1308,1298.23,1306.66,12758382.3
10/18/2022,1306.72,1320.4,1306.35,1314.02,11985749.27
10/18/2022,1314.12,1315.49,1307.3,1308.8,4035986.498
10/18/2022,1309.04,1313.19,1308.13,1310.58,3458451.775
10/18/2022,1310.36,1311.96,1306.39,1311.48,5293806.006
10/18/2022,1311.34,1314.79,1310.09,1312.49,4807935.766
10/18/2022,1312.62,1315.94,1307.68,1310.49,6151795.669
10/18/2022,1310.49,1313.86,1308.21,1310.8,5128370.472
10/18/2022,1310.67,1313.65,1307.43,1310.27,7059010.044
10/18/2022,1310.27,1311.58,1298.66,1301.1,9080854.51
10/18/2022,1300.88,1306.4,1298.06,1303.67,8604335.64
10/18/2022,1303.68,1308.68,1303.58,1306.31,5581738.092
10/18/2022,1306.3,1306.61,1303.54,1304.14,4090256.765
